slug	current_path	target_path	reason
jing-yi-chuang-ye	books/创业产品/埃里克·莱斯-精益创业.md	books/商业产品/创业方法/埃里克·莱斯-精益创业.md	primary reader goal is entrepreneurship method
yi-ren-qi-ye	books/创业产品/保罗·贾维斯-一人企业.md	books/商业产品/商业模式/保罗·贾维斯-一人企业.md	primary reader goal is business model or company model
chuang-ye-wei-jian	books/创业产品/本·霍洛维茨-创业维艰.md	books/商业产品/创业方法/本·霍洛维茨-创业维艰.md	primary reader goal is entrepreneurship method
dan-gan	books/创业产品/陈欢-单干.md	books/商业产品/商业模式/陈欢-单干.md	primary reader goal is business model or company model
xiao-mi-chuang-ye-si-kao	books/创业产品/雷军-小米创业思考.md	books/商业产品/商业模式/雷军-小米创业思考.md	primary reader goal is business model or company model
zhen-xu-qiu	books/创业产品/梁宁-真需求.md	books/商业产品/商业模式/梁宁-真需求.md	primary reader goal is business model or company model
chan-pin-jing-li-shou-ce	books/创业产品/琳达·哥乔斯-产品经理手册.md	books/商业产品/产品管理/琳达·哥乔斯-产品经理手册.md	primary reader goal is product management
shang-yin	books/创业产品/尼尔·埃亚尔-上瘾.md	books/商业产品/用户体验/尼尔·埃亚尔-上瘾.md	primary reader goal is UX and product design
si-bu-chuang-ye-fa	books/创业产品/史蒂夫·布兰克-四步创业法.md	books/商业产品/创业方法/史蒂夫·布兰克-四步创业法.md	primary reader goal is entrepreneurship method
chuang-ye-36-tiao-jun-gui	books/创业产品/孙陶然-创业36条军规.md	books/商业产品/创业方法/孙陶然-创业36条军规.md	primary reader goal is entrepreneurship method
chan-pin-kai-fa-liu-cheng-yuan-li	books/创业产品/唐纳德·莱纳特森-产品开发流程原理.md	books/商业产品/产品管理/唐纳德·莱纳特森-产品开发流程原理.md	primary reader goal is product management
zeng-zhang-hei-ke	books/创业产品/肖恩·埃利斯-增长黑客.md	books/商业产品/市场增长/肖恩·埃利斯-增长黑客.md	primary reader goal is growth and behavior loops
ke-hu-kai-fa-ru-men	books/创业产品/辛迪·阿尔瓦雷斯-客户开发入门.md	books/商业产品/创业方法/辛迪·阿尔瓦雷斯-客户开发入门.md	primary reader goal is entrepreneurship method
bing-du-shi-xun-huan	books/创业产品/亚当·潘恩伯格-病毒式循环.md	books/商业产品/市场增长/亚当·潘恩伯格-病毒式循环.md	primary reader goal is growth and behavior loops
shang-ye-mo-shi-xin-sheng-dai	books/创业产品/亚历山大·奥斯特瓦德,伊夫·皮尼厄-商业模式新生代.md	books/商业产品/商业模式/亚历山大·奥斯特瓦德,伊夫·皮尼厄-商业模式新生代.md	primary reader goal is business model or company model
yu-jun-chan-pin-fang-fa-lun	books/创业产品/俞军-俞军产品方法论.md	books/商业产品/产品管理/俞军-俞军产品方法论.md	primary reader goal is product management
fu-ge-xing-wei-mo-xing	books/创业产品/B.J.福格-福格行为模型.md	books/商业产品/用户体验/B.J.福格-福格行为模型.md	primary reader goal is UX and product design
jing-yi-chan-pin-shou-ce	books/创业产品/Dan Olsen-精益产品手册.md	books/商业产品/创业方法/Dan Olsen-精益产品手册.md	primary reader goal is entrepreneurship method
facebook-xiao-ying	books/创业产品/David Kirkpatrick-Facebook效应.md	books/商业产品/商业模式/David Kirkpatrick-Facebook效应.md	primary reader goal is business model or company model
she-ji-xin-li-xue	books/创业产品/Don Norman-设计心理学.md	books/商业产品/用户体验/Don Norman-设计心理学.md	primary reader goal is UX and product design
she-ji-chong-ci	books/创业产品/Jake Knapp,John Zeratsky,Braden Kowitz-设计冲刺.md	books/商业产品/用户体验/Jake Knapp,John Zeratsky,Braden Kowitz-设计冲刺.md	primary reader goal is UX and product design
yong-hu-gu-shi-di-tu	books/创业产品/Jeff Patton-用户故事地图.md	books/商业产品/用户体验/Jeff Patton-用户故事地图.md	primary reader goal is UX and product design
yong-hu-ti-yan-yao-su	books/创业产品/Jesse James Garrett-用户体验要素.md	books/商业产品/用户体验/Jesse James Garrett-用户体验要素.md	primary reader goal is UX and product design
qi-shi-lu	books/创业产品/Marty Cagan-启示录.md	books/商业产品/产品管理/Marty Cagan-启示录.md	primary reader goal is product management
ma-ma-ce-shi	books/创业产品/Rob Fitzpatrick-妈妈测试.md	books/商业产品/创业方法/Rob Fitzpatrick-妈妈测试.md	primary reader goal is entrepreneurship method
zhi-ye-mao	books/个人成长/埃德加·施恩-职业锚.md	books/自我管理/职业发展/埃德加·施恩-职业锚.md	primary reader goal is career development
jin-zi-ta-yuan-li	books/个人成长/芭芭拉·明托-金字塔原理.md	books/自我管理/表达输出/芭芭拉·明托-金字塔原理.md	primary reader goal is expression and communication
yuan-jian	books/个人成长/布赖恩·费瑟斯通豪-远见.md	books/自我管理/职业发展/布赖恩·费瑟斯通豪-远见.md	primary reader goal is career development
